latitude,longitude,speed_kmh,time_of_day,distance_from_corridor,is_anomaly
25.543196,91.872082,14.3,9,14.1,0
25.330119,91.761134,23.6,8,4.2,0
25.287443,91.739611,29.7,16,24.2,0
25.554776,91.879681,13.4,10,70.2,0
25.435454,91.820848,19.1,18,300.0,1
25.497977,91.852953,38.4,15,24.6,0
25.369193,91.783177,20.4,11,28.4,0
25.397011,91.797654,22.1,8,66.7,0
25.409835,91.80575,24.2,15,27.8,0
25.281781,91.736877,14.0,16,43.1,0
25.331699,91.762108,12.1,8,5.1,0
25.54171,91.871294,39.3,15,24.7,0
25.550121,91.875502,24.0,13,59.4,0
25.487674,91.848823,19.5,10,11.2,0
25.525011,91.865018,39.7,6,104.8,0
25.384422,91.79166,5.4,15,30.6,0
25.317064,91.753175,13.6,8,72.9,0
25.327876,91.760082,32.1,8,14.7,0
25.502569,91.856151,21.0,9,116.2,0
25.3259,91.759173,18.6,14,33.1,0
25.284994,91.739,18.5,9,25.6,0
25.405926,91.803888,5.3,6,58.0,0
25.497711,91.853661,14.8,9,59.6,0
25.318464,91.753899,36.7,8,78.1,0
25.515765,91.8603,30.3,10,0.6,0
25.456121,91.830993,23.7,10,18.1,0
25.365766,91.780957,13.8,12,2.4,0
25.291749,91.741885,19.7,17,9.9,0
25.30891,91.748833,37.2,11,68.7,0
25.499036,91.85368,46.2,8,6.8,0
25.424054,91.813961,54.9,14,58.1,0
25.46575,91.836653,4.0,13,12.1,0
25.359565,91.776297,3.7,10,120.6,0
25.473122,91.840794,25.4,14,16.7,0
25.544007,91.873123,40.2,11,66.5,0
25.356115,91.776048,40.0,14,41.7,0
25.423831,91.814,18.2,11,74.0,0
25.293169,91.743052,29.0,14,63.5,0
25.467285,91.837508,18.4,13,12.4,0
25.459553,91.832782,4.4,7,29.4,0
25.34888,91.77247,48.6,10,84.6,0
25.496736,91.852729,15.7,10,3.6,0
25.492336,91.850416,29.8,16,53.6,0
25.37526,91.787764,9.7,15,146.8,0
25.295416,91.743187,11.0,13,25.4,0
25.53995,91.870114,52.9,17,13.8,0
25.338143,91.766234,18.7,9,58.3,0
25.517423,91.861905,13.1,9,96.8,0
25.421999,91.830015,21.2,10,1731.5,1
25.371899,91.783092,34.6,15,126.2,0
25.352811,91.772514,19.7,10,123.6,0
25.567719,91.886327,30.0,8,42.9,0
25.516712,91.859737,24.3,13,98.0,0
25.506534,91.855861,24.3,13,77.8,0
25.355437,91.775539,51.6,8,28.9,0
25.366352,91.781339,10.2,13,3.1,0
25.332921,91.763443,2.5,12,69.0,0
25.45366,91.828907,13.3,8,87.9,0
25.409309,91.805482,8.8,13,30.2,0
25.51281,91.858226,8.5,16,92.9,0
25.371146,91.782845,32.2,7,109.4,0
25.339417,91.766869,10.2,15,51.2,0
25.505354,91.856278,27.1,15,14.1,0
25.348,91.771378,35.1,13,26.0,0
25.517855,91.860302,8.9,12,86.8,0
25.537473,91.869499,24.3,8,52.7,0
25.389155,91.793588,22.2,14,37.7,0
25.399423,91.79906,28.2,8,60.3,0
25.523058,91.862862,9.0,14,37.3,0
25.349168,91.771704,28.6,11,5.5,0
25.447938,91.827103,22.7,16,45.8,0
25.515637,91.860044,25.2,6,21.7,0
25.566149,91.886606,10.5,15,74.2,0
25.555888,91.879367,22.8,15,23.7,0
25.309196,91.742617,3.5,14,712.7,1
25.403574,91.802099,13.0,15,11.0,0
25.480625,91.845259,43.4,9,45.5,0
25.469833,91.838521,16.2,13,26.8,0
25.561607,91.883504,12.1,13,40.6,0
25.284603,91.738143,30.8,16,43.5,0
25.414838,91.807409,33.1,16,81.2,0
25.561693,91.883607,38.1,18,45.5,0
25.459964,91.832343,12.0,9,94.5,0
25.440383,91.823457,3.1,11,99.5,0
25.356352,91.776232,18.4,12,46.8,0
25.370616,91.783958,13.4,17,27.5,0
25.372336,91.784158,29.9,8,46.1,0
25.528447,91.865507,19.9,14,13.3,0
25.359056,91.777973,22.8,9,70.1,0
25.482041,91.845176,27.9,16,39.2,0
25.572932,91.890263,12.9,16,31.5,0
25.323967,91.758679,18.2,15,89.5,0
25.293875,91.742623,29.9,12,12.2,0
25.381713,91.789721,19.4,10,11.7,0
25.285361,91.738791,60.0,14,12.3,0
25.317167,91.753741,16.8,9,23.5,0
25.364999,91.780506,30.6,14,4.8,0
25.456512,91.831164,26.8,15,22.5,0
25.413435,91.807716,11.1,10,24.5,0
25.498835,91.853521,21.0,11,1.3,0
25.313217,91.751144,18.7,12,62.6,0
25.30301,91.74644,31.5,11,42.1,0
25.394263,91.795628,16.7,13,115.3,0
25.421531,91.81167,6.7,11,28.4,0
25.540874,91.870825,27.8,9,28.2,0
25.480175,91.844409,4.2,9,12.9,0
25.390013,91.794923,2.9,7,45.9,0
25.393527,91.795963,18.9,10,42.9,0
25.481291,91.845558,12.7,15,38.6,0
25.29664,91.742994,35.9,11,101.0,0
25.536641,91.868414,8.5,14,25.0,0
25.392869,91.796045,38.7,9,0.7,0
25.287299,91.739523,16.1,8,26.6,0
25.410261,91.805191,25.1,10,49.7,0
25.296236,91.743968,37.9,14,16.5,0
25.507066,91.856828,26.6,15,0.2,0
25.320514,91.75582,49.3,16,2.0,0
25.294636,91.742451,15.8,8,64.5,0
25.458556,91.831645,19.1,16,86.3,0
25.532247,91.867877,11.0,12,101.1,0
25.495619,91.852533,20.3,15,29.4,0
25.346268,91.769836,10.1,15,30.4,0
25.414574,91.808621,3.1,12,51.0,0
25.541395,91.870421,16.6,11,40.3,0
25.495885,91.85216,46.8,14,20.0,0
25.557471,91.881344,41.0,10,73.2,0
25.382037,91.790208,12.3,14,18.3,0
25.374718,91.786417,23.4,9,45.0,0
25.481013,91.844555,32.9,11,44.0,0
25.562728,91.883246,15.7,14,48.6,0
25.335132,91.764443,7.2,16,46.8,0
25.392136,91.795668,6.5,13,3.6,0
25.494645,91.851849,6.9,16,0.9,0
25.511442,91.858933,13.1,12,36.9,0
25.442572,91.824217,26.5,11,55.1,0
25.54217,91.871364,10.5,9,4.8,0
25.356241,91.776011,33.9,10,31.2,0
25.299686,91.74454,4.8,13,83.1,0
25.524291,91.862455,23.9,15,130.4,0
25.436089,91.820362,23.9,6,30.4,0
25.411975,91.8063,21.0,14,34.3,0
25.537876,91.868635,21.1,14,53.3,0
25.534918,91.867652,28.4,8,32.5,0
25.480251,91.844945,24.2,10,35.1,0
25.562828,91.883737,9.2,8,7.6,0
25.437346,91.820107,21.8,15,62.4,0
25.379119,91.787816,41.9,17,56.8,0
25.533016,91.868309,36.3,6,114.0,0
25.388772,91.793022,5.1,8,72.0,0
25.473336,91.840988,33.0,14,23.9,0
25.301413,91.746636,13.3,15,50.8,0
25.536003,91.868202,60.0,15,20.6,0
25.299403,91.745461,53.0,13,23.3,0
25.539997,91.871053,15.1,8,100.5,0
25.298937,91.745934,36.6,17,92.6,0
25.479991,91.844823,23.1,8,37.3,0
25.43628,91.821105,51.4,11,92.4,0
25.329011,91.75997,48.1,14,57.6,0
25.340273,91.767807,10.3,13,96.2,0
25.509447,91.858228,16.7,10,46.4,0
25.546161,91.872927,29.1,14,76.4,0
25.508647,91.856789,8.5,15,69.2,0
25.518559,91.860748,19.9,14,69.9,0
25.303217,91.747397,17.5,14,45.7,0
25.278541,91.735676,40.6,13,17.0,0
25.569819,91.888455,27.4,13,38.8,0
25.433221,91.819186,11.3,15,71.0,0
25.300799,91.744898,11.7,12,97.6,0
25.345559,91.76966,16.4,16,9.2,0
25.364113,91.780158,26.3,11,9.3,0
25.531645,91.866362,22.0,11,30.6,0
25.282585,91.736812,8.3,14,86.4,0
25.512552,91.858656,30.4,10,37.7,0
25.379071,91.787744,34.8,13,61.2,0
25.474304,91.84093,11.6,12,34.1,0
25.348607,91.771053,41.9,17,38.5,0
25.438939,91.822108,27.4,11,46.2,0
25.530496,91.866543,17.1,8,35.7,0
25.403112,91.802162,15.5,12,42.1,0
25.343968,91.768007,16.7,15,84.1,0
25.542079,91.871458,20.9,14,19.0,0
25.555627,91.879245,15.2,15,20.3,0
25.312033,91.75193,12.4,17,77.9,0
25.426238,91.815052,26.1,9,46.3,0
25.43847,91.821559,41.2,16,18.2,0
25.554687,91.877892,49.1,16,95.0,0
25.362853,91.78001,29.7,7,63.0,0
25.535079,91.868061,24.7,14,3.1,0
25.495049,91.8509,35.0,6,115.7,0
25.396463,91.797727,4.1,14,29.9,0
25.298563,91.744868,43.2,13,1.5,0
25.500284,91.853597,15.5,9,53.4,0
25.535507,91.868719,28.8,16,53.3,0
25.512156,91.859001,12.5,10,14.3,0
25.423739,91.813651,30.6,10,45.1,0
25.510678,91.857046,18.8,8,126.7,0
25.518641,91.861357,27.8,8,10.3,0
25.498876,91.853808,12.4,15,26.6,0
25.405175,91.803097,12.8,13,21.6,0
25.463006,91.83486,45.2,13,14.0,0
25.435901,91.820166,21.5,6,21.5,0
25.379078,91.787844,17.8,15,51.9,0
25.359425,91.776569,15.5,14,86.5,0
25.572031,91.889135,19.7,9,24.0,0
25.272988,91.733945,21.0,15,60.9,0
25.272961,91.731167,0.2,23,219.8,1
25.349744,91.772319,33.1,10,23.2,0
25.478493,91.843781,22.5,12,16.9,0
25.378044,91.788364,22.4,9,54.7,0
25.499955,91.853173,6.8,9,83.6,0
25.275205,91.733829,16.2,16,52.1,0
25.432551,91.81863,19.2,12,53.2,0
25.56846,91.888076,9.8,10,80.9,0
25.398787,91.79826,16.0,10,103.7,0
25.32178,91.756484,40.9,14,5.9,0
25.376246,91.787424,98.1,2,60.4,1
25.333209,91.761664,17.0,8,119.7,0
25.282054,91.737828,32.6,15,41.0,0
25.300753,91.746126,43.4,11,29.2,0
25.291464,91.74201,19.3,15,35.6,0
25.310158,91.750574,12.1,10,47.4,0
25.303891,91.746829,18.0,9,42.8,0
25.306248,91.747355,42.7,12,97.1,0
25.492573,91.851869,46.1,15,86.8,0
25.280991,91.736389,31.4,8,56.5,0
25.280954,91.737928,12.8,7,101.4,0
25.349246,91.771254,60.0,14,53.5,0
25.566323,91.885201,15.2,16,69.6,0
25.552148,91.877711,10.2,15,34.1,0
25.437862,91.82098,21.6,9,5.3,0
25.388937,91.793592,14.9,12,25.5,0
25.308332,91.748989,28.7,10,26.4,0
25.439021,91.822419,23.8,13,72.1,0
25.429413,91.818328,5.1,3,300.0,1
25.541569,91.870449,19.6,14,47.7,0
25.434508,91.818777,18.9,10,38.3,0
25.403295,91.802333,10.0,15,48.9,0
25.495863,91.852926,22.3,13,60.0,0
25.351807,91.773482,17.5,9,24.9,0
25.536783,91.868298,35.2,15,43.0,0
25.447462,91.826725,22.8,7,34.7,0
25.286487,91.738884,12.2,15,54.4,0
25.571223,91.88942,21.3,14,49.7,0
25.369539,91.783002,17.0,13,7.4,0
25.273218,91.7337,18.8,12,25.6,0
25.369336,91.783501,27.3,9,52.2,0
25.501243,91.854232,18.8,8,27.4,0
25.302974,91.74636,30.8,16,48.5,0
25.302826,91.747129,12.1,8,36.2,0
25.450139,91.828173,24.0,10,30.9,0
25.321287,91.755804,45.4,10,45.4,0
25.455732,91.830128,39.9,17,81.2,0
25.342749,91.768352,34.5,11,15.3,0
25.374194,91.786376,16.6,11,69.3,0
25.379023,91.788484,23.9,9,13.4,0
25.425887,91.814397,34.5,8,1.5,0
25.449023,91.826936,28.1,10,29.1,0
25.430512,91.815595,44.4,8,131.9,0
25.415283,91.808282,18.0,9,20.3,0
25.504111,91.855089,47.6,13,57.4,0
25.465063,91.835996,25.5,7,14.6,0
25.536804,91.868453,20.9,9,27.8,0
25.368854,91.783735,5.9,17,101.0,0
25.478517,91.844842,25.3,16,118.8,0
25.453801,91.829447,3.7,15,43.1,0
25.496698,91.852677,40.5,14,0.2,0
25.329106,91.760817,3.9,9,19.7,0
25.312156,91.751027,13.8,13,16.6,0
25.367605,91.782955,30.8,14,92.7,0
25.363856,91.779656,5.8,17,25.7,0
25.342413,91.768777,33.5,15,75.0,0
25.485275,91.847781,10.0,8,39.5,0
25.468651,91.837723,16.2,10,40.6,0
25.360423,91.777795,37.7,15,21.2,0
25.539477,91.869842,12.6,12,5.3,0
25.46164,91.834629,18.7,16,37.4,0
25.454475,91.831158,10.2,18,87.1,0
25.502817,91.854884,30.9,16,25.1,0
25.407311,91.803515,3.4,14,53.2,0
25.279226,91.736088,8.2,6,6.5,0
25.388394,91.792902,10.4,12,63.3,0
25.403087,91.801653,16.0,8,6.0,0
25.506226,91.855972,4.9,14,53.5,0
25.543963,91.870764,17.3,14,155.7,0
25.383194,91.784373,10.4,16,612.2,1
25.338884,91.766127,29.1,12,7.8,0
25.292363,91.743466,6.8,9,142.3,0
25.343036,91.767628,23.0,7,70.6,0
25.481902,91.84492,11.5,14,56.6,0
25.371027,91.784134,35.7,14,22.4,0
25.517236,91.86109,25.3,10,20.3,0
25.301999,91.746439,5.5,9,4.0,0
25.526548,91.864234,26.1,13,39.8,0
25.488223,91.84923,21.3,17,21.1,0
25.361482,91.778068,13.3,10,51.9,0
25.36076,91.778447,14.3,15,24.1,0
25.469432,91.838546,58.9,13,2.7,0
25.561833,91.884117,17.7,10,85.9,0
25.275739,91.729865,0.9,0,478.9,1
25.514073,91.860117,34.8,10,50.4,0
25.499305,91.852621,27.6,10,113.8,0
25.377494,91.787478,6.8,14,1.8,0
25.410812,91.805818,34.9,15,18.4,0
25.416956,91.808875,29.2,17,53.0,0
25.389583,91.793485,13.6,16,70.9,0
25.446294,91.826529,60.0,15,78.8,0
25.408251,91.80432,6.7,13,25.7,0
25.309249,91.749408,60.0,8,25.8,0
25.33765,91.766042,40.8,7,66.2,0
25.552141,91.877611,4.5,14,25.0,0
25.422607,91.812967,21.1,13,39.6,0
25.313005,91.751005,15.5,9,64.6,0
25.451698,91.828104,20.4,9,60.0,0
25.476977,91.84274,30.1,15,2.4,0
25.31508,91.75201,22.2,16,79.1,0
25.543697,91.87259,11.7,14,33.5,0
25.571395,91.888071,16.6,11,88.7,0
25.418232,91.809705,32.9,10,41.2,0
25.474515,91.841407,36.1,11,0.9,0
25.570681,91.888274,1.8,9,28.3,0
25.526223,91.864264,30.8,15,23.2,0
25.311518,91.751593,16.5,16,73.0,0
25.558163,91.881901,24.1,10,86.5,0
25.329197,91.760755,20.9,8,8.7,0
25.320686,91.759995,0.8,4,394.9,1
25.364224,91.779716,16.0,12,39.7,0
25.360794,91.77944,30.5,7,118.9,0
25.404158,91.802564,10.1,11,24.7,0
25.520102,91.861608,29.3,11,44.8,0
25.279289,91.736195,10.7,9,1.5,0
25.56617,91.885036,32.1,7,76.5,0
25.360292,91.776669,54.6,14,123.6,0
25.383746,91.790898,27.1,11,7.0,0
25.563956,91.883649,50.7,15,81.1,0
25.407556,91.804429,21.1,14,22.5,0
25.483477,91.84659,53.2,9,20.8,0
25.273225,91.734045,24.9,13,60.3,0
25.297574,91.743825,15.7,10,59.2,0
25.444078,91.823838,18.7,16,63.3,0
25.36318,91.779209,27.2,6,32.7,0
25.398129,91.800047,13.7,14,105.7,0
25.373392,91.784826,40.4,15,38.1,0
25.530806,91.865181,21.8,14,118.0,0
25.408621,91.805265,21.8,13,46.2,0
25.384622,91.791401,20.5,11,5.4,0
25.557991,91.881149,22.2,11,24.8,0
25.428653,91.81679,31.0,8,84.9,0
25.416982,91.810892,16.9,9,141.8,0
25.497565,91.853807,32.2,16,80.7,0
25.431747,91.816998,34.5,13,62.2,0
25.360987,91.77841,10.7,17,8.2,0
25.319451,91.758645,0.6,23,330.3,1
25.485981,91.847611,15.0,10,15.2,0
25.53456,91.867977,22.8,12,15.8,0
25.285005,91.744904,0.1,1,624.5,1
25.321712,91.759549,1.1,3,296.0,1
25.576004,91.890933,7.7,10,81.8,0
25.323009,91.757874,1.6,13,63.0,0
25.447406,91.827427,22.6,13,106.1,0
25.371274,91.783711,18.9,13,32.1,0
25.448303,91.826487,16.4,10,33.9,0
25.359505,91.777766,6.6,10,25.6,0
25.288938,91.741262,55.9,8,75.1,0
25.494076,91.851465,29.5,16,17.1,0
25.39401,91.796729,16.8,15,5.5,0
25.533302,91.867095,38.7,16,23.3,0
25.276366,91.734607,7.7,12,26.2,0
25.569789,91.881286,13.2,16,642.3,1
25.29501,91.74334,15.0,13,8.7,0
25.462038,91.834494,34.7,15,2.7,0
25.384042,91.791139,26.3,8,0.4,0
25.484693,91.847331,17.3,15,27.1,0
25.39419,91.795914,23.6,15,83.6,0
25.38769,91.792483,26.1,14,66.0,0
25.533655,91.868135,38.2,6,69.6,0
25.547368,91.875822,12.9,8,129.8,0
25.361877,91.779132,10.8,15,30.3,0
25.38349,91.790096,45.8,13,71.2,0
25.450125,91.826949,14.1,15,87.4,0
25.321193,91.75595,15.7,9,26.1,0
25.43496,91.820102,4.3,10,66.1,0
25.515559,91.860802,39.0,14,59.8,0
25.315845,91.752987,36.7,10,25.4,0
25.315028,91.753037,12.9,7,23.7,0
25.299739,91.739814,0.2,0,565.3,1
25.489091,91.849711,25.4,13,21.1,0
25.524413,91.863002,7.5,16,78.9,0
25.538572,91.869007,6.8,15,43.6,0
25.33991,91.767281,36.1,15,64.6,0
25.387574,91.793152,6.5,13,5.4,0
25.462668,91.835754,17.3,14,91.3,0
25.547026,91.873433,22.7,13,78.1,0
25.47919,91.84369,36.7,16,29.6,0
25.38533,91.794515,25.9,6,300.0,1
25.306267,91.748709,45.6,14,39.5,0
25.517435,91.860969,36.3,16,0.5,0
25.56452,91.884765,13.2,7,7.3,0
25.342785,91.769532,6.5,10,128.3,0
25.301031,91.745667,10.3,12,30.1,0
25.457489,91.832611,131.7,10,65.5,1
25.544129,91.871905,60.0,15,56.6,0
25.46983,91.837679,13.8,9,108.5,0
25.521688,91.862967,28.4,14,30.1,0
25.495217,91.851926,27.0,11,16.6,0
25.465014,91.836592,32.4,16,46.1,0
25.414347,91.807654,14.8,7,30.8,0
25.520372,91.863272,8.7,13,116.1,0
25.469194,91.838222,16.5,15,21.3,0
25.403063,91.801411,25.2,9,28.3,0
25.445836,91.82479,23.5,15,65.6,0
25.401567,91.8009,16.2,9,2.8,0
25.333065,91.763072,54.1,14,25.1,0
25.472677,91.83983,25.8,15,53.1,0
25.566393,91.885648,40.2,10,31.1,0
25.28502,91.739939,28.7,10,119.8,0
25.522471,91.863511,17.6,16,54.0,0
25.550777,91.876416,20.6,14,10.1,0
25.402254,91.801398,23.4,11,14.2,0
25.529178,91.865904,20.2,7,24.1,0
25.406808,91.803564,24.9,16,21.3,0
25.563611,91.885031,27.2,13,70.5,0
25.377522,91.787561,2.9,11,4.7,0
25.521552,91.863589,7.9,10,100.0,0
25.512165,91.859208,13.2,14,35.4,0
